REFCODES,HOMO-LUMO GAP,SMILES
ANOXUX,2.7335,OC(C(=O)NC1CCCCC1)c1ccccc1N(=O)=O
ANTMEU01,1.7143,C1Cc2c3ccccc3c(CCc3c4ccccc4c1c1ccccc31)c1ccccc21
ANUKOK,2.7416,O=N(=O)c1cc(c2Oc3cc4ccccc4cc3Oc3cc(Oc4cc5ccccc5cc4Oc1c2)c(cc3N(=O)=O)N(=O)=O)N(=O)=O
APACEA,2.0537,CN(C)c1ccc2nnc3c4cccc(C#N)c4ccc3c2c1
APEMEO,3.1678,CC1=C(NC2=NN=NN2C1=O)c1ccccc1
APEMIS,2.9104,CC(C)(C)c1cc(C2Nc3cccc4cccc(N2)c34)c(O)c(c1)C(C)(C)C
APEMOY,2.9137,Cc1cccc(C2Nc3cccc4cccc(N2)c34)c1O
APEYUQ,3.0353,CC(C)(c1ccc(OC(=O)C=C)cc1)c1ccc(OC(=O)C=C)cc1
APEZEB,3.1096,C=CC(=O)Oc1ccc(OC(=O)C=C)cc1
APINOD,3.5129,OCC1CCC23CC(C=C2)c2cc4OCOc4cc2CC(=O)N13
APOKIA,4.1917,OC(C1COCCO1)(c1ccccc1)c1ccccc1
APOWIM,2.215,C1C=C(c2ccccc12)c1c2ccccc2c(C2=CCc3ccccc23)c2ccccc12
APOWOS,2.1698,Brc1c2ccccc2c(C2=CCc3ccccc23)c2ccccc12
APOWUY,3.4646,CC1=Cc2ccccc2C1C1C(=Cc2ccccc12)C
APOXUZ,4.4649,C1CC(OC1(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1
APUDEV,2.0192,Fc1cc(F)c2c(c1)c1c3cc(F)cc(F)c3c3c4c(F)c(F)c(F)c(F)c4c4c5c(F)cc(F)cc5c5c6cc(F)cc(F)c6c6c7c(F)c(F)c(F)c(F)c7c2c2c1c3c4c5c62
APUHOJ,4.7157,O=C1C2CCCN2C(=O)C2CCCN12
APUNAB,3.2467,OC1CC(Nc2ccc(Cl)cc2C1)c1ccccc1Cl
APUXIS,3.6149,CC(C)(C)OC(=O)N1CCC2(CC1)N(C(=O)OC(C)(C)C)C(=O)N(C(=O)OC(C)(C)C)C2=O
AQACEB,1.8548,CCCCCCCCOc1ccccc1C(=O)C1=CNc2ccccc2N=CC(=CNc2ccccc2N=C1)C(=O)c1ccccc1OCCCCCCCC
AQACOL,1.8194,O=C1C2=CNc3ccccc3N=CC(=CNc3ccccc3N=C2)C(=O)c2ccccc2OCCCCCCCCCCOc2ccccc12
AQAGOO,2.8748,O=NN(C1CCCCC1)C1CCCCC1
AQAZAV,3.4735,Clc1ccc(cc1)N(C=O)c1ccccn1
AQEJEM,1.448,FC(F)(F)c1ccc(cc1)C1=NC=C(S1)C1=CC2=C(S1)C(=O)C1=C(SC(=C1)C1=CN=C(S1)c1ccc(cc1)C(F)(F)F)C2=O
AQINET,2.7006,COC(=O)C1=CN2N=CC=CC2=C1C(=O)OC
AQINIX,2.9903,CCOC(=O)C1=C(C(=O)OC)C(=C2N1N=Cc1ccccc21)C(=O)OC
AQUNUW,1.4567,Fc1ccc(cc1)C1=CC(C=C(O1)c1ccc(F)cc1)=C1C=C(OC(=C1)c1ccc(F)cc1)c1ccc(F)cc1
ARACOM,3.2694,CC(C)C(NC(=O)c1ccccc1O)C(=O)Nc1ccccc1O
ARANUC,4.2995,CC(C)(C)OC(=O)N1C(COC1(C)C)C(O)c1ccccc1
ARUBIY,4.0914,CC(=O)OC(C)=C(C)N(C(C)=O)C(C)=O
ASIPOI,2.826,COC(=O)C1=C2Nc3ccccc3C32CCN2CCC1C(=O)C32
ASIWAB,1.7083,CCOC(=O)C=C(C)C=CC=CC=CC(C)=Cc1ccccc1
ASIWIJ,2.5636,FC(F)(F)c1cc(Br)c2nc(cnc2c1)c1ccc(Cl)cc1.FC(F)(F)c1cc(Br)c2ncc(nc2c1)c1ccc(Cl)cc1
ASOLAW,3.3916,COc1ccc(cc1)C1=NC(C)(C(=O)OC)C2(O1)C(=O)N(C)c1ccccc21
ASOSEH,3.8071,CC1OC(=O)C2C1C(C1CCCCC1C2=O)C(=O)OC(C)(C)C
ASUMUW,2.758,OC(=O)c1ccccc1NCCCNc1ccccc1C(O)=O
ATAVAT,2.2653,O=C(OC(C1OC(CC2CCCCC12)c1ccccc1)c1ccccc1)c1ccc(cc1)N(=O)=O
ATEQAS,2.7621,CN(C)C(=Nc1ccc2ccccc2c1c1c(ccc2ccccc12)N=C(N(C)C)N(C)C)N(C)C
ATEQOG,2.8393,CN1CCN(C)C1=Nc1ccc2ccccc2c1c1c(ccc2ccccc12)N=C1N(C)CCN1C
ATEQUM,3.3479,CN1CCN(C)C1=Nc1ccccc1c1ccccc1N=C1N(C)CCN1C
ATIGUG,2.7849,O=CC1=C2N(CCCc3ccccc23)c2ccccc12
ATOBOA,4.2695,c1ccc(cc1)C(N1C=CC=N1)(N1C=CC=N1)c1ccccc1
ATOBUG,4.0956,CC1=NN(C(=C1)C)C(N1N=C(C)C=C1C)(c1ccccc1)c1ccccc1
ATOXOW,3.6426,CC(=O)OC1CC2C(=CCC3C(C)(C)CCC(OC(C)=O)C23C)C2OC(=O)C(=C)C12
ATOZOY01,4.1435,Fc1cc(F)c(c(F)c1)c1c(F)cc(F)cc1F
ATUJOP,2.3128,CN(C)c1ccc2cc(C=O)ccc2c1c1c(ccc2cc(C=O)ccc12)N(C)C
ATUNUZ,1.9156,Clc1ccc(cc1)N=C1C(=O)c2cccc3cccc1c23
AVABOO,3.1516,COc1ccc(CNc2nc(nc3N(C=Nc23)C(C)C)N2CCCCCC2)cc1
AVAHAH,3.6064,CC(C)(C)OC(=O)C1(C=C1c1ccccc1)C#N
AVAHOU,2.7867,Fc1c(N2CCCCC2)c(N2CCCCC2)c(F)c2c(F)c(N3CCCCC3)c(N3CCCCC3)c(F)c12
AVEREY,3.5715,CCOC(=O)CCCCOc1c2Cc3cccc(Cc4cccc(Cc5cccc(Cc1ccc2)c5O)c4OCCOC)c3O
AVERIC,4.0882,CC(=O)OCCCCOc1c2Cc3cccc4Cc5cccc(Cc6cccc(Cc1ccc2)c6OCCOCCOCCOCCOCCOc34)c5OCCCCOC(C)=O
AVICAK,1.5386,N1C2=C(c3ccccc3)C3=NC(=C(C4=CC=C(N4)C4=C5N=C(C(OC(c6ccccc6)c6ccccc6)OC5c5ccccc45)C(=C1C=C2)c1ccccc1)c1ccccc1)C=C3
AVIWIL,4.1752,OC1(C#C)c2cccc(Cl)c2C(O)(C#C)c2cccc(Cl)c12
AVIYAG,3.2209,COC(=O)C1C(c2c(OC)cc(OC)cc2OC)C2(C)CCCCC2(O)C1=O
AVUZEW,1.7872,Cc1cc(C)c(N=C2c3cccc4cccc(C2=Nc2c(C)cc(C)cc2C)c34)c(C)c1
AWARUM,3.0811,C1CC(C2=CNc3ccccc23)C2=C(C1)OC(=C2)c1ccccc1
AWAVOK,4.3038,CC(C)(C)OC(=O)N1CCC(C=C)C1C(O)=O
AWAWAX,4.4837,OCC(Cc1ccccc1)N1C(=O)C2CCCN2C1=O
AWAZII,3.6847,CC1=CN(CCCC#C)C(=O)NC1=O
AWOBIZ,3.9173,Fc1c(Cl)cccc1C#N
AWOBUL,3.6927,Fc1ccc(Cl)cc1C#N
AWUGUV,2.5098,CC1(C)CC(=O)C2=C(C1)OC1=C(C2c2ccc(O)cc2)C(=O)CC(C)(C)C1
AXATUP,1.9682,CCOC(=O)CN1C(=O)N(CC(=O)OCC)c2c1ccc1C(=O)c3ccccc3C(=O)c21
AXEDUC,1.6805,c1ccc(cc1)c1ccccc1N=C1c2cccc3cccc(C1=Nc1ccccc1c1ccccc1)c23
AXEKOE,2.5089,COc1ccc(OC)c(c1CO)c1c(OC)ccc(c1OC)C1(O)C(=O)c2cc(C)cc(OC)c12
AXEQEA,1.9979,COc1ccc(cc1)C1CC1c1cccc(c1)N(=O)=O
AXIHIZ,5.0337,CC1(CCCCC(=O)O1)C(O)C#C
AXIWAG,1.9539,CC=C(OC(=O)C(C)C)C(C)C(OC(C)c1ccccc1)C(C)C(O)C(C)C(C)OC(=O)c1ccc(cc1)N(=O)=O
AXOPUZ,3.8505,CC(=C)C(=O)N(C1CCCC1)c1ccccc1C(C)(C)C
AXOQAG,3.8235,CC(=C)C(=O)N(C1CCCCC1)c1ccccc1C(C)(C)C
AXOQEK,3.8233,CC(=C)C(=O)N(C1CCCCC1)c1ccccc1C(C)(C)C
AXOWAM,3.0598,CCOC(=O)N1CC(=Cc2ccccc2)N1C(=O)OCC
AXUBUR01,3.8712,Fc1ccccc1C#C
AXUCEC,3.7326,Fc1cccc(c1)C#C
AXUDED,4.0747,COC(=O)c1ccccc1
AXUQEQ,2.5368,COC(=O)C12CCC(C1C1CCC3C4(C)CC(=Cc5ccccc5)C(=O)C(C)(C)C4CCC3(C)C1(C)CC2)C(C)=C
AYAMUJ,3.5991,Brc1ccc(cc1)N1CSCSC1
AYASUP,1.7311,CC(=O)c1ccc2CCc3ccc(O)c1c23
AYOHEB,3.7273,COc1ccc(cc1)C#C
AYONUY,4.4803,CC(C)(C)OC(=O)N1CCC(CC1)C(O)=O
AYOTEO,2.2453,C=CCCCc1c2ccccc2cc2ccccc12
AYOZUK,2.0092,COc1cc(OC)c(C=CC(=O)c2ccccc2O)cc1OC
AYUCUT,2.1761,COCOc1ccc(C=CC(=O)c2c(O)cc(OC)c3CCC(C)(C)Oc23)cc1OCOC
AYUFAC01,2.396,Brc1ccc(cc1)C=C1Cc2ccccc2C1=O
AYUPEQ,2.5145,COc1ccc(NC(C)=CC(=O)C2=C(O)N(N=C2C)c2ccccc2)cc1
AYUYOJ,2.1169,COc1cc(C=CC(=O)c2ccccn2)cc(OC)c1OC
AYUZEA,2.9156,COc1ccc(C2Nc3ccccc3C3=Nc4ccccc4N23)c(O)c1
AYUZUQ,4.0316,CC(C)c1ccc(C)cc1OCC(=O)NNC(=O)COc1cc(C)ccc1C(C)C
AZABEJ,2.8059,CCOC(=O)C1=C(C)N(N=N1)c1ccc(cc1)N(=O)=O
AZACUA,3.3486,OCCN=C1CCc2ccccc12
AZAGEO,2.3781,Nc1c(C#N)c(c2CCc3ccccc3c2c1C#N)c1ccc2OCOc2c1
AZAJAN,2.5278,COc1ccc(cc1)c1c2CCc3ccccc3c2c(C#N)c(N)c1C#N
AZBNBT02,1.9506,Brc1ccc(cc1)N=Nc1ccc(Br)cc1
AZIBER,2.962,Clc1ccc(C=O)cc1Cl
AZIBIU,6.361,C1CC2CC1CC2C1C2CCC(C2)C1C1CC2CCC1C2
AZIBIV,2.8486,Clc1cc(Cl)cc(C=O)c1
AZIQOP,3.3241,Cc1ccc(cc1)N1C=NC(=C1C)N(=O)=O
AZIQUV,3.288,COc1ccc(cc1)N1C=NC(=C1C)N(=O)=O
AZOMIM,2.4633,O=C(C=CC1=CN(N=C1)c1ccccc1)c1cccc2ccccc12
AZOQUC,2.2747,CCOC(=O)C(=NNc1ccccc1OC)C(C)=O
AZUFOR,3.171,CC1=NN(c2ccccc2)C(=C1C=O)Oc1ccccc1
AZUGIM,3.0037,Brc1ccc(cc1)C1=NN(C=C1C=O)c1ccccc1
AZUNOZ,2.9812,CC(C)=NN=C(C)CC1(O)c2ccccc2N2C(=O)c3ccccc3N=C12
AZUPER,3.4446,CC=C(C)C(=O)OC1C(CCC2(C)CCCC(C)(O)C12)C(=C)C(O)=O
AZUVUN,3.8679,Oc1c(Cl)cccc1C1=NN(C=C1C=O)c1ccccc1
BACQON,4.5068,CCCNC(=O)C(NC(=O)C1CCCN1)C(C)C
BADJIB,3.0496,CC(=O)OC1CC(C(OC(C)=O)C(OC(C)=O)C1OC(C)=O)N1C(=O)c2ccccc2C1=O
BADJOH,2.978,CC(=O)OC1CC(C(OC(C)=O)C(OC(C)=O)C1OC(C)=O)N1C(=O)c2ccccc2C1=O
BADKAU,2.7759,OC1CC(C(O)C2OC12)N1C(=O)c2ccccc2C1=O
BADKEY,2.7212,CC(=O)OC1CC(C=CC1OC(C)=O)N1C(=O)c2ccccc2C1=O
BADKIC,1.6599,O=C1N(C2CC3OOC2C=C3)C(=O)c2ccccc12
BADKOI,1.7788,O=C1N(C2CC3OOC2C=C3)C(=O)c2ccccc12
BADMEA,2.7684,c1ccc(cc1)C=C=C1c2ccccc2C=Cc2ccccc12
BAFDET,2.3803,COC(=O)c1nnc(C=C(O)c2ccccc2)c(c2ccccc2)c1C(=O)c1ccccc1
BAJYIV,2.2796,CC(Nc1cccnc1N)=CC(=O)c1ccccc1
BAPBUQ03,3.4235,O=C1N(C=Nc2ccccc12)c1ccccc1
BASRUJ,3.8541,CC12CC3C1C(=CC(=O)O2)OCCOC1=CC(=O)OC2(C)CC(C12)C(=O)OCCOC3=O
BAXBIM,3.6156,CC(C)C1N(C(=O)OC1(c1ccccc1)c1ccccc1)C(=O)C=C
BBEZAM04,3.5979,NC(=O)c1ccc(Br)cc1
BCBANN01,2.394,O=C1C2=CC3=CC=CC=C(C=C1C=CC=C2)C3=O
BEFQOT,3.1416,CC1CC2CC(=O)C34CCC(O3)N(O)CCCC24C(=O)C1
BEGJEE,1.6356,CC1=Cc2cc3cc4cc5SC(=Cc5cc4cc3cc2S1)C
BENCLN02,3.0812,Clc1ccc(cc1N(=O)=O)N(=O)=O
BENTIY,4.5005,COC(=O)C1CC2OC(C)(C)OCC2N1C(=O)OCc1ccccc1
BEQZEE,1.7505,FC(F)(F)c1ccc(cc1)C1=C2c3ccc(cc3C(=C2c2ccc(cc12)C(F)(F)F)c1ccc(cc1)C(F)(F)F)C(F)(F)F
BERXIG,2.9524,C(Oc1cc(cc(c1)c1cc(nc(c1)c1ccccn1)c1ccccn1)c1cc(nc(c1)c1ccccn1)c1ccccn1)c1ccccc1
BESSOJ,1.0306,FC(F)(F)c1c2cc3ccccc3cc2c(c2cc3ccccc3cc12)C(F)(F)F
BETMET,2.4312,Fc1cc(cc(F)c1C=O)C#N
BEWLAR,3.175,CC1(c2ccccc2)C2=Cc3ccccc3N2C2(Cc3ccccc3N2)C1(C)c1ccccc1
BEWTON,2.8045,CC(C)(C)C1COC(=O)N1c1cccc(C=O)n1
BEWYOR,2.5105,Nc1c(c(N)c(c(F)c1N(=O)=O)N(=O)=O)N(=O)=O
BEWZEJ,2.3263,Fc1c(F)c(F)c(C#Cc2c(F)c(F)c(C#Cc3c(F)c(F)c(F)c(F)c3F)c(F)c2F)c(F)c1F
BEXMUN,3.5263,O=C1NC2(CCC1C(=O)N2)c1ccccc1
BEXNUO,3.7711,CC12CCC(NC1=O)(NC2=O)c1ccccc1
BEXPAW,4.5015,CC12CCC(Cc3ccccc3)(C(=O)N1)C(=O)N2
BEXYAF,2.9792,N#CC1=C2CCCN2CCc2cc3OCOc3cc12
BIGVUI01,2.4107,Brc1c(Br)c(Br)c2c(Br)c(Br)c(Br)c(Br)c2c1Br
BILGIM,3.0552,CON=Cc1c(C)cc(Cl)cc1C
BILWUP,3.6101,CC(=O)OC1CC2C(C)(C)OC(=O)C=CC2(C)C2C(=O)CC3(C)C(OC(=O)C4OC34C12C)C1=COC=C1
BILXAW,3.5806,CC1(C)OC(=O)C=CC2(C)C1CC(O)C1(C)C2C(=O)CC2(C)C(OC(=O)C3OC123)C1=COC=C1
BINAPH11,3.2348,c1ccc2c(c1)cccc2c1cccc2ccccc12
BIPHDS02,2.5784,S1Sc2ccccc2c2ccccc12
BIRKIW03,2.2161,S1C(Sc2ccccc12)=C1Sc2ccccc2S1
BIVKAT,5.177,CCOC(=O)CC(O)C1C2CCC3C2C(C)(C)CCCC13C
BIXGUL,1.9176,CC(C)N(C(=O)c1ccc(cc1)C(=O)N(C(C)C)C(=O)c1c2ccccc2cc2ccccc12)C(=O)c1c2ccccc2cc2ccccc12
BIXPII,3.3342,OC1C2CCCC1(CCN2CCc1ccccc1)c1cccc(O)c1
BIXPOO,3.5781,CC1C2CCCC1(CCN2CCc1ccccc1)c1cccc(O)c1
BIXSEH,4.0034,COC(=O)C12CCCC3(C(O)OC1)C1CC4=C(C=CO4)C(C)C1CCC23
BIZHIB02,5.1442,OCC(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO
BOBMUB,3.4011,CC1C2N(OC31C(=O)N(C)c1ccccc31)C(COC2=O)c1ccccc1
BOCWEW,2.8255,c1ccc(cc1)C1=Cc2ccccc2C1C1c2ccccc2C=C1c1ccccc1
BOGMAM,1.2721,CC(C)(C)C1=C2N3CCN(CC3)C2=C(C(=O)C1=O)C(C)(C)C
BOGMIU,1.2224,CC(C)(C)C1=CC(=C(C(=O)C1=O)C(C)(C)C)N1CCN(CC1)C1=C(C(=O)C(=O)C(=C1)C(C)(C)C)C(C)(C)C
BOGTEX,2.59,CC1(C)CC(=O)c2ccc3c(Nc4ccccc34)c2O1
BOGTIB,2.6118,Cc1ccc2c(Nc3c4OC(C)(C)CC(=O)c4ccc23)c1
BOGTOH,2.5801,Cc1cccc2c1Nc1c3OC(C)(C)CC(=O)c3ccc21
BOLGOZ,4.0616,O=C([O-])CC[NH2+]Cc1ccccc1
BOPSAA02,3.1256,Oc1ccc(cc1)c1ccccc1
BORTAE,4.3688,CC1=C(C)N(C=N1)C(NC1CCCCC1)=NC1CCCCC1
BORTUY,3.1384,Cc1ccc(NC(=Nc2ccc(C)cc2)N2C(=NC(=C2C)C)C)cc1
BORVAG01,4.245,CC1=NC(=C(C)N1C(NC1CCCCC1)=NC1CCCCC1)C
BORVIO,3.9011,C1CCC(CC1)NC(=NC1CCCCC1)N1C=Nc2ccccc12
BORVOU,4.1147,CC(C)NC(=NC(C)C)N1C(=Nc2ccccc12)C
BORVUA,3.1349,Cc1ccc(NC(=Nc2ccc(C)cc2)N2C(=Nc3ccccc23)C)cc1
BORWAH,4.0384,CC1=Nc2ccccc2N1C(NC1CCCCC1)=NC1CCCCC1
BORWOV,2.6673,Cc1ccc(NC2=NC3=Nc4cc(C)c(C)cc4N3C(=Nc3ccc(C)cc3)N2c2ccc(C)cc2)cc1
BORWUB,4.3522,C1CCC(CC1)NC(=NC1CCCCC1)N1C=CN=C1
BORZUE,2.8494,COc1cc2ccccc2c2ON(C(c3ccccc3)c12)C(C)(C)C
BOSDAP,1.8692,OCCNC1=CC(=O)c2ccccc2C1=O
BOTJIE,3.8443,CN(C)Cc1cc(C)cc(C2CC3CCC2(C)C3(C)C)c1O
BOTVUC,1.6792,Nc1c(Br)c(C(O)=O)c(Br)c(C(O)=O)c1Br
BOVXOA,1.8288,CC1CCC(C(C)C)C2(C1)OCC(COC(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O)O2
BOVYIV,4.0919,CN(N)c1cc(nc(C)n1)N(C)N
BOWYOC,2.3959,CN1C=NC(=C1N1CCN(CC1)c1ncccn1)N(=O)=O
BOWYUI,2.7574,C1CN(CCN1c1ncccn1)c1nc(nc2ccccc12)c1ccccc1
BOXTEP,2.597,FC(F)(F)c1cc(Cl)c2c(ccc3c2ccc2cc(cc(Cl)c32)C(F)(F)F)c1
BOYTIT,2.2181,CCCCCCCCOc1ccc(cc1)C(=O)Oc1ccc(OC(=O)c2ccc(NN=N([O])c3ccccc3)cc2)cc1
BOYZUL,3.7297,CC1=C2C(c3ccccc3)C(=C(N)OC2=NN1)C#N
BOZGIH,3.1451,CN1N=CC(=C1C(O)=O)N(=O)=O
BOZKIL,2.6371,Brc1c(cc2ccccc2c1c1c(Br)c(cc2ccccc12)C#Cc1ccccc1)C#Cc1ccccc1
BOZZUM,2.6348,CCOC1CC(CO1)=Cc1ccc(NC(=O)NC(C)c2cccc3ccccc23)cc1
BRANIL,3.2914,Nc1c(Br)cc(Br)cc1Br
BRBZAC01,3.5975,OC(=O)c1ccccc1Br
BRBZAP01,3.7681,OC(=O)c1ccc(Br)cc1
BUBXOM,3.5444,CCCCCC(C=C)C(O)(C=Cc1ccccc1)c1ccccc1
BUCTOJ,1.2503,Cc1ccc(cc1)C1=C2C=CC(=N2)C2=CC(=C(N2)C(O)(c2ccc(C)cc2)C2=NC(=C(C3=CC=C1N3)c1ccc(C)cc1)C=C2)N(=O)=O
BUDQIB,2.7432,CCOC(=O)C1=C(C)NC(=C(C1c1ccc(C)cc1)C(=O)OCC)C
BUDRIC,2.0668,CCOC(=O)C(=Cc1cc(O)c(O)c(c1)N(=O)=O)C#N
BUDXOO,2.2039,O=C(C=Cc1ccccc1)c1ccc(cc1)N(=O)=O
BUDZUW,4.5767,NC(=O)NCCCc1ccccc1
BUFNAS,3.2331,Cc1ccc2N3CN4CN(CN(C3)c3cc(C)ccc43)c2c1
BUJYEL,4.9799,CC1C=CC2COC(=O)C2C1C(O)=O
BULKID,3.978,COCCN(C)Cc1cc(cc(c1O)C(C)(C)C)C(C)(C)C
BUQWOZ01,0.1133,CC(C)(C)N([O])c1ccc(cc1)C(c1ccc(cc1)N([O])C(C)(C)C)=C1C2CC3CC(C2)CC1C3
BURPUA,1.0183,CC(C)(C)C1=CC(=CC=C2C=C(C(=O)C(=C2C(C)(C)C)O)C(C)(C)C)C(=C(O)C1=O)C(C)(C)C
BUSJOP,3.1761,OC(CN1CC2CC(C1)C1=CC=CC(=O)N1C2)c1ccccc1
BUSSIS,3.5546,CC(=O)OC1CCCCC1N(=O)=O
BUWSAO,3.7582,O=C1CCCC(C1)C(CC#C)(C#N)C#N
BUXNOY,4.7045,CC(=O)OCC1CCC2(CCCOC2=O)C1(O)CCO
BUXQIV,2.0924,COC(=O)C=C1CC(C=C(CC1=CC(=O)OC)OC)c1ccccc1
CABYAG01,1.9753,S=C1Oc2ccccc2C=C1
CADNUR,4.0092,O=C1C2OC(OCc3ccccc3)C=CC2N1OCc1ccccc1
CAFVAG,3.8385,Nc1c(F)c(F)c(N)c(F)c1F
CAHGAV,4.06,O=C1OC2(CCC3CCCCC1C23)c1ccccn1
CAJCEX,2.7819,CC(CO)N=Cc1cc(c(C)cc1O)c1cccc2cccc(c3cc(C=NC(C)CO)c(O)cc3C)c12
CAJSOX,3.5591,CCN(N1C(C1c1ccccc1)c1ccccc1)C(=O)OC(C)(C)C
CAKMEI,2.4796,Clc1ccc(cc1)c1nc2ccccc2c(c2ccccc2)c1Sc1c(nc2ccccc2c1c1ccccc1)c1ccc(Cl)cc1
CAKMIM,2.4515,Clc1ccc2nc(c3ccccc3)c(Sc3c(nc4ccc(Cl)cc4c3c3ccccc3)c3ccccc3)c(c3ccccc3)c2c1
CAKRIQ,5.08,CC1(N)CC2(C)CC(C)(C1)NC(=O)N2
CAKWUH,2.9165,OC(C1CC2CCN1CC2C=C)c1cccc2ccccc12
CALYIY,3.033,CC(=O)c1c2CCCc3cc4CCCc1c1CCCc4cc3CCCc2c1
CAMSUF,2.2485,Nc1ccc(I)c(c1I)N(=O)=O
CARDOO,2.2969,Nc1cc(Cl)c(Cl)cc1N(=O)=O
CARJEM,2.6267,Brc1cc2ccc3cc(Br)cc4ccc(c1)c2c34
CAXNUL01,3.227,Fc1c(F)c(F)c2ccccc2c1F
CAXNUL06,3.2268,Fc1c(F)c(F)c2ccccc2c1F
CBBCBT,2.7837,BrC1C(Br)c2ccccc12
CCBCBT,1.2274,ClC1C(Cl)c2ccccc12
CEDRAF,3.0256,CCOC(=O)COc1ccc2C(=CC(=O)Oc2c1)C
CEFHOL,4.0568,CC(C)(C)OC(=O)N1C(COC1(C)C)C(C#N)N(Cc1ccccc1)Cc1ccccc1
CEJJOR,1.9308,COc1ccc(cc1)c1cc(c2CCN(C)c2n1)c1ncccn1
CELKUA,3.2899,CC12CCC(=O)CC1CCC1C3CCC(C(O)=O)C3(C)CC(=O)C21
CEPCAC,1.7126,Fc1cc2nc3SC(Sc3nc2cc1F)=C1Sc2nc3cc(F)c(F)cc3nc2S1
CEPCEG,1.6752,Clc1cc2nc3SC(Sc3nc2cc1Cl)=C1Sc2nc3cc(Cl)c(Cl)cc3nc2S1
CEPNUH,3.7336,COc1ccc2CC(=O)N(Cc3ccccc3)c2c1
